Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00973928490005032,1.83127089286699E-06,0.0410140167677137,0,0,0,0.162352169522719,0.000226592553127906,-7.33974356968621E-08,2.13221970218122E-06,0.000269447877479622,8.15167478682635E-09,0.000222318286704,0,0,0,0,0,0,package://piper_slave_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://piper_slave_description/meshes/base_link.STL,,base_link-1,base_link_axis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00131676031926984,0.000310288842009266,-0.00922874512303448,0,0,0,0.0978679932242826,7.76684558296782E-05,1.09084650459928E-07,-1.9748053243241E-06,9.24967780161546E-05,9.91284646834577E-07,8.24589062407806E-05,0,0,0,0,0,0,package://piper_slave_description/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://piper_slave_description/meshes/link1.STL,,link1-1,link1_axis,基准轴1,joint1,revolute,0,0,0.123,0,0,-1.5708,base_link,0,0,1,100,3,-2.618,2.618,,,,,,,,
link2,0.147615889509426,-0.0174260242231321,0.00175953839968308,0,0,0,0.289570165726093,0.000150112030598521,8.58964962060178E-05,-1.07408295088503E-06,0.0017258471872165,-9.9382405210397E-07,0.00177445407836346,0,0,0,0,0,0,package://piper_slave_description/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://piper_slave_description/meshes/link2.STL,,link2-1,link2_axis,基准轴2,joint2,revolute,0,0,0,1.5708,-0.18822,-1.5708,link1,0,0,1,100,3,0,3.14,,,,,,,,
link3,0.0156727369652958,0.104466495690107,0.000508479337323991,0,0,0,0.290583612813414,0.00022168673797825,-7.57408494058923E-06,-6.36995590559901E-07,0.000100859208616699,-8.16231100823835E-07,0.00024183974052656,0,0,0,0,0,0,package://piper_slave_description/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://piper_slave_description/meshes/link3.STL,,link3-1,link3_axis,基准轴3,joint3,revolute,0.28503,0,0,0,0,1.3826,link2,0,0,1,100,3,-2.697,0,,,,,,,,
link4,0.000276466145386484,-0.00102804142065371,-0.00472831185573786,0,0,0,0.12708738799602,3.82011721226907E-05,-4.92402818734863E-08,4.89562755452226E-08,4.8704868787511E-05,6.70807206169121E-08,4.10592238452447E-05,0,0,0,0,0,0,package://piper_slave_description/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://piper_slave_description/meshes/link4.STL,,link4-2,link4_axis,基准轴4,joint4,revolute,0.021984,0.25075,0,-1.5708,0,0,link3,0,0,-1,100,3,-1.832,1.832,,,,,,,,
link5,8.82261259079475E-05,0.0566829084341963,-0.00196119077435715,0,0,0,0.144711209371806,4.39644269159504E-05,-3.5921484085666E-08,-1.89785003755334E-08,5.63173857792914E-05,-2.1540762372509E-07,4.88713595021133E-05,0,0,0,0,0,0,package://piper_slave_description/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://piper_slave_description/meshes/link5.STL,,link5-1,link5_axis,基准轴5,joint5,revolute,0,0,0,1.5708,0,0,link4,0,0,1,100,3,-1.22,1.22,,,,,,,,
link6,0.000799734029960423,0.0121932671749668,0.0315481242574986,0,0,0,0.195186215018024,6.44481651828701E-05,-2.4085573008232E-06,1.51842414146653E-07,0.000126076399177829,2.41493465740137E-06,0.000154086369804994,0,0,0,0,0,0,package://piper_slave_description/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://piper_slave_description/meshes/link6.STL,,link6-1,link6_axis,基准轴6,joint6,revolute,0,0.091,0.0014165,-1.5708,0,0,link5,0,0,-1,100,3,-3.14,3.14,,,,,,,,
link7,-0.000277796606132918,-0.0467673525577484,-0.00921029800845349,0,0,0,0.0264822468303309,9.99782326205027E-06,-1.57547436734949E-07,-2.71356023142448E-08,6.17952359827087E-06,-1.58939495981921E-06,1.42102234065569E-05,0,0,0,0,0,0,package://piper_slave_description/meshes/link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://piper_slave_description/meshes/link7.STL,,link8-1,gripper_1_axis,基准轴7,joint7,prismatic,0,0,0.13503,1.5708,0,1.5898,link6,0,0,-1,10,1,0,0.04,,,,,,,,
link8,0.000277796625703319,0.0467673536098445,-0.00921029808778402,0,0,0,0.0264822458559721,9.99782280519136E-06,-1.57547505769274E-07,2.71356071742361E-08,6.1795235777251E-06,1.58939494382959E-06,1.42102229262876E-05,0,0,0,0,0,0,package://piper_slave_description/meshes/link8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://piper_slave_description/meshes/link8.STL,,link7-1,gripper_2_axis,基准轴7,joint8,prismatic,0,0,0.13503,-1.5708,0,1.5898,link6,0,0,1,10,1,-0.04,0,,,,,,,,
