Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00973928490005031,1.83127089286742E-06,0.0410140167677137,0,0,0,0.162352169522719,0.000226592553127906,-7.33974356968619E-08,2.13221970218122E-06,0.000269447877479622,8.15167478682794E-09,0.000222318286704,0,0,0,0,0,0,package://piper_master_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://piper_master_description/meshes/base_link.STL,,base_link-1,base_link_axis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00131676031927025,0.00031028884200859,-0.0092287451230344,0,0,0,0.0978679932242824,7.76684558296781E-05,1.09084650459893E-07,-1.97480532432407E-06,9.24967780161546E-05,9.91284646834617E-07,8.24589062407806E-05,0,0,0,0,0,0,package://piper_master_description/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://piper_master_description/meshes/link1.STL,,link1-1,link1_axis,基准轴1,joint1,revolute,0,0,0.123,0,0,-1.5708,base_link,0,0,1,100,3,-2.618,2.618,,,,,,,,
link2,0.14761589307449,-0.0174260240827081,0.00175953940346265,0,0,0,0.289570182962832,0.000150112037321562,8.5896498691184E-05,-1.07407683880235E-06,0.00172584726154755,-9.93825787564277E-07,0.00177445415709494,0,0,0,0,0,0,package://piper_master_description/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://piper_master_description/meshes/link2.STL,,link2-1,link2_axis,基准轴2,joint2,revolute,0,0,0,1.5708,-0.18822,-1.5708,link1,0,0,1,100,3,0,3.14,,,,,,,,
link3,0.0156727363589359,0.104466494004719,0.000508480146739494,0,0,0,0.29058359696822,0.000221686715091211,-7.5740818045402E-06,-6.3699565468093E-07,0.000100859207949748,-8.16231429491213E-07,0.00024183971704822,0,0,0,0,0,0,package://piper_master_description/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://piper_master_description/meshes/link3.STL,,link3-1,link3_axis,基准轴3,joint3,revolute,0.28503,0,0,0,0,1.3826,link2,0,0,1,100,3,-2.697,0,,,,,,,,
link4,0.000276466145386484,-0.00102804142065354,-0.00472831185573979,0,0,0,0.12708738799602,3.82011721227155E-05,-4.92402818921466E-08,4.8956275545214E-08,4.87048687875256E-05,6.70807206169124E-08,4.10592238452832E-05,0,0,0,0,0,0,package://piper_master_description/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://piper_master_description/meshes/link4.STL,,link4-2,link4_axis,基准轴4,joint4,revolute,0.021984,0.25075,0,-1.5708,0,0,link3,0,0,-1,100,3,-1.832,1.832,,,,,,,,
link5,8.82261259079198E-05,0.0566829084341944,-0.00196119077435727,0,0,0,0.144711209371805,4.39644269159933E-05,-3.59214840862719E-08,-1.89785003726242E-08,5.63173857793374E-05,-2.15407623729531E-07,4.88713595021165E-05,0,0,0,0,0,0,package://piper_master_description/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://piper_master_description/meshes/link5.STL,,link5-1,link5_axis,基准轴5,joint5,revolute,0,0,0,1.5708,0,0,link4,0,0,1,100,3,-1.22,1.22,,,,,,,,
link6,-1.35828400638213E-06,-0.0145192655484311,0.0332869916083767,0,0,0,0.214619655313844,0.000328373001951026,2.6519769754208E-08,-6.17539675843118E-10,0.000153553402065615,-1.04755637882815E-05,0.000384841078563999,0,0,0,0,0,0,package://piper_master_description/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://piper_master_description/meshes/link6.STL,,link6-1,link6_axis,基准轴6,joint6,revolute,0,0.091,0.0014165,-1.5708,-1.5708,0,link5,0,0,-1,100,3,-3.14,3.14,,,,,,,,
link7,0.0220608711302828,0.00159213382342127,-0.0140000104411386,0,0,0,0.0163980778203027,1.12239962986094E-06,-1.70907039193007E-07,-1.94073878426408E-12,8.6711375712708E-06,-6.39227893006478E-13,7.92440281462933E-06,0,0,0,0,0,0,package://piper_master_description/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://piper_master_description/meshes/link7.STL,,link7-1,gripper_1_axis,基准轴7,joint7,prismatic,0,-0.043177,0.0685,1.5708,0,1.5708,link6,0,0,-1,10,1,0,0.036,,,,,,,,
link8,0.0231312127032236,-0.00164133179294612,-0.0139999979719777,0,0,0,0.0159830776295144,1.09529865085152E-06,1.17861574175912E-07,4.70869585315262E-13,9.31448134061065E-06,-1.25105834171426E-13,8.59093656354732E-06,0,0,0,0,0,0,package://piper_master_description/meshes/link8.STL,1,1,1,1,0,0,0,0,0,0,package://piper_master_description/meshes/link8.STL,,link8-1,gripper_2_axis,基准轴7,joint8,prismatic,0,-0.043177,0.0685,-1.5708,0,1.5708,link6,0,0,1,10,1,-0.036,0,,,,,,,,
