Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0094101,-8.3424E-05,-0.10022,0,0,0,62.935,0.93227,-3.7072E-06,3.995E-05,1.2983,-0.00014259,2.016,0,0,0,0,0,0,package://split_aloha_mid_360/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://split_aloha_mid_360/meshes/base_link.STL,,RGM2 v2.01外发-1-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
box_link,0.10921,-0.0087718,0.52779,0,0,0,27.261,1.8122,4.558E-05,0.014722,1.7779,-4.0693E-05,0.28053,0,0,0,0,0,0,package://split_aloha_mid_360/meshes/box_link.STL,1,1,1,1,0,0,0,0,0,0,package://split_aloha_mid_360/meshes/box_link.STL,,D-D083-220013-A-1;D-D083-220005-A-1;M-C1658-180017-A-1;路由器-1;天线-1;天线-2;把手-1;把手-2;航插-1;开关模块-20241012-1;M-C1658-180005-A-1;升降柱及支架装配体-1/DMS170L-L05S800-DT750B-C2U-RCM-P7-M-1-2;升降柱及支架装配体-1/DMS170L-L05S800-DT750B-C2U-RCM-P7-M-1-1;升降柱及支架装配体-1/M-C1658-180002-A-1;D-D083-220003-A-1;D-D083-220013-A-2;M-C1658-180003-A-1;散热风扇-1;散热风扇-2,坐标系1,,box_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
front_camera_link,-0.011443,0.0003607,-0.0012124,0,0,0,0.020053,1.1182E-05,2.589E-09,5.6552E-08,2.2729E-06,-6.7447E-07,1.0081E-05,0,0,0,0,0,0,package://split_aloha_mid_360/meshes/front_camera_link.STL,1,1,1,1,0,0,0,0,0,0,package://split_aloha_mid_360/meshes/front_camera_link.STL,,奥比大白视野示意图-1,坐标系3,,front_camera_joint,fixed,0.35679,0,0.15819,-0.11187,0.6606,-0.0051043,box_link,0,0,0,,,,,,,,,,,,
lidar_link,-0.0022133,-0.00090659,0.025996,0,0,0,0.048617,1.0358E-05,9.2377E-09,-2.6386E-07,1.0387E-05,-2.6377E-07,1.7919E-05,0,0,0,0,0,0,package://split_aloha_mid_360/meshes/lidar_link.STL,1,1,1,1,0,0,0,0,0,0,package://split_aloha_mid_360/meshes/lidar_link.STL,,mid-360-fov-asm-1,坐标系2,,lidar_joint,fixed,0.31755,0,0.036188,-0.035132,0.20001,-0.001242,box_link,0,0,0,,,,,,,,,,,,
lifting_link,0.071327,0.00032985,0.10599,0,0,0,0.47066,0.010952,-5.2124E-06,-0.00046317,0.0018329,-4.6428E-06,0.010201,0,0,0,0,0,0,package://split_aloha_mid_360/meshes/lifting_link.STL,1,1,1,1,0,0,0,0,0,0,package://split_aloha_mid_360/meshes/lifting_link.STL,,M-C1658-180001-A-1;欧标1640型材A-1;M-COMA-180037-A-1,坐标系5,,lifting_joint,fixed,0.22448,0,1.1147,0,0,0,box_link,0,0,0,,,,,,,,,,,,
top_camera_link,-0.011443,2.4833E-05,-0.0012615,0,0,0,0.020053,1.1181E-05,1.204E-07,4.9068E-08,2.2587E-06,5.7637E-07,1.0097E-05,0,0,0,0,0,0,package://split_aloha_mid_360/meshes/top_camera_link.STL,1,1,1,1,0,0,0,0,0,0,package://split_aloha_mid_360/meshes/top_camera_link.STL,,奥比大白视野示意图-4,坐标系6,,top_camera_joint,fixed,0.16194,0,0.29838,0.049713,0.00080758,-0.01623,lifting_link,0,0,0,,,,,,,,,,,,
